"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\maxim\DA\el-pollo-loco\js\script.js", "JavaScript", 24, 0, 5, 29
"c:\Users\maxim\DA\el-pollo-loco\models\character.class.js", "JavaScript", -18, 0, 32, 14
"c:\Users\maxim\DA\el-pollo-loco\models\coins-bar.class.js", "JavaScript", 1, 0, 0, 1
"c:\Users\maxim\DA\el-pollo-loco\models\drawable-object.class.js", "JavaScript", -8, 0, -1, -9
"c:\Users\maxim\DA\el-pollo-loco\models\endboss.class.js", "JavaScript", -26, 0, 4, -22
"c:\Users\maxim\DA\el-pollo-loco\models\enemy.class.js", "JavaScript", 9, 0, 2, 11
"c:\Users\maxim\DA\el-pollo-loco\models\movable-object.class.js", "JavaScript", 29, 0, 41, 70
"c:\Users\maxim\DA\el-pollo-loco\models\status-bar.class.js", "JavaScript", 6, 0, 9, 15
"c:\Users\maxim\DA\el-pollo-loco\models\world.class.js", "JavaScript", -40, 0, -8, -48
"Total", "-", -23, 0, 84, 61
